1		0
2		0
4		0
8		0
16		0
32		0
64		0
128		0.000499
256		0.000499
512		0.001498
1024		0.002995
2048		0.004991
10		0
20		0
40		0
80		0
160		0.0005
320		0.000505
640		0.001996
1280		0.002996
2560		0.007486
5120		0.017969
10240		0.033443
20480		0.063391
100		0.000499
200		0.000499
400		0.000499
800		0.001997
1600		0.002994
3200		0.008484
6400		0.017969
12800		0.040431
25600		0.081361
51200		0.137764
102400		0.179194
204800		0.181685
1000		0.002995
2000		0.004991
4000		0.01597
8000		0.023459
16000		0.048417
32000		0.102821
64000		0.148243
128000		0.18069
256000		0.178692
512000		0.179692
1024000		0.19766
2048000		0.177692
