1		0.0005
2		0
4		0
8		0
16		0
32		0
64		0
128		0.000499
256		0.000499
512		0.001996
1024		0.004492
2048		0.010482
10		0
20		0
40		0
80		0.0005
160		0.000499
320		0.000999
640		0.002495
1280		0.00549
2560		0.012978
5120		0.02945
10240		0.064389
20480		0.132772
100		0.000499
200		0.000499
400		0.001498
800		0.002995
1600		0.007487
3200		0.01747
6400		0.036937
12800		0.079364
25600		0.175698
51200		0.304976
102400		0.379351
204800		0.396817
1000		0.003993
2000		0.009483
4000		0.022461
8000		0.046422
16000		0.126283
32000		0.2306
64000		0.339416
128000		0.397316
256000		0.405304
512000		0.404803
1024000		0.404306
2048000		0.386835
